exp_id,dataset,timestamp,kge_model,ans_recall@5,ans_recall@10,ans_recall@30,ans_recall@50,ans_recall@100,ans_recall@200,ans_recall@400,shortest_path_triple_recall@5,shortest_path_triple_recall@10,shortest_path_triple_recall@30,shortest_path_triple_recall@50,shortest_path_triple_recall@100,shortest_path_triple_recall@200,shortest_path_triple_recall@400,gpt_triple_recall@5,gpt_triple_recall@10,gpt_triple_recall@30,gpt_triple_recall@50,gpt_triple_recall@100,gpt_triple_recall@200,gpt_triple_recall@400
webqsp_Oct03-23:03:40_kge_freq_distmult_prob_drop0_2,webqsp,2025-10-04 02:44:14,distmult,0.6714,0.7621,0.8672,0.9122,0.9502,0.9767,0.9883,0.5295,0.6425,0.7777,0.8287,0.8838,0.9331,0.9668,0.4904,0.6118,0.7527,0.8028,0.8659,0.9199,0.9633
webqsp_Oct03-23:12:56_kge_freq_distmult_prob_drop0_2_esv_and,webqsp,2025-10-04 02:44:19,distmult,0.6588,0.7519,0.8696,0.9099,0.9471,0.9737,0.9879,0.5336,0.6439,0.7835,0.8359,0.8907,0.9361,0.967,0.4945,0.6234,0.765,0.8124,0.8724,0.9172,0.9555
webqsp_Oct03-23:27:11_kge_freq_distmult_prob_drop0_2_esv_or,webqsp,2025-10-04 02:44:25,distmult,0.5997,0.6875,0.8087,0.8506,0.9018,0.9404,0.9759,0.4695,0.5764,0.7255,0.7824,0.8507,0.9038,0.9455,0.4273,0.5385,0.6903,0.7464,0.8129,0.8717,0.9277
webqsp_Oct03-23:31:31_kge_freq_distmult_score_esv_and,webqsp,2025-10-04 02:44:30,distmult,0.6664,0.7616,0.871,0.9128,0.9516,0.973,0.9895,0.5289,0.6454,0.7845,0.8343,0.8927,0.9362,0.9679,0.4882,0.6115,0.7584,0.8055,0.8668,0.9189,0.963
webqsp_Oct03-23:44:48_kge_freq_distmult_score_esv_or,webqsp,2025-10-04 02:44:36,distmult,0.622,0.7242,0.8475,0.8922,0.9386,0.968,0.9836,0.518,0.6235,0.7659,0.8189,0.8786,0.9252,0.962,0.4821,0.5998,0.744,0.7932,0.8545,0.9075,0.9567
webqsp_Oct03-23:53:30_kge_freq_distmult_score_drop0_2,webqsp,2025-10-04 02:44:41,distmult,0.6371,0.7334,0.844,0.8893,0.9326,0.9637,0.9816,0.5063,0.6192,0.7536,0.8104,0.8669,0.9178,0.9576,0.474,0.5924,0.726,0.7787,0.8416,0.8935,0.9433
webqsp_Oct04-00:00:37_kge_freq_distmult_score_drop0_2_esv_and,webqsp,2025-10-04 02:44:47,distmult,0.6389,0.7381,0.8559,0.9006,0.9417,0.9662,0.9828,0.5095,0.6243,0.7649,0.8202,0.8773,0.9248,0.9615,0.4761,0.5968,0.7393,0.7896,0.8551,0.9081,0.9566
webqsp_Oct04-00:08:56_kge_freq_distmult_score_drop0_2_esv_or,webqsp,2025-10-04 02:44:53,distmult,0.6421,0.7412,0.8583,0.904,0.9481,0.9722,0.9856,0.5267,0.6396,0.7754,0.8288,0.8855,0.9328,0.9667,0.4923,0.6173,0.7549,0.8065,0.8659,0.9156,0.9614
webqsp_Oct08-09:45:29,webqsp,2025-10-08 09:58:47,none,0.6216,0.7209,0.8456,0.8843,0.9315,0.9605,0.9811,0.5066,0.6176,0.7601,0.8163,0.8738,0.921,0.9587,0.4692,0.5875,0.7381,0.7877,0.8437,0.9001,0.9494
webqsp_Oct08-10:28:59,webqsp,2025-10-08 11:31:14,none,0.6685,0.7551,0.8667,0.9094,0.9446,0.9728,0.9853,0.5317,0.6421,0.778,0.8321,0.8877,0.9347,0.9649,0.4915,0.6141,0.7509,0.8002,0.8614,0.9143,0.9536
webqsp_Oct08-17:42:10,webqsp,2025-10-08 18:01:54,none,0.6411,0.7346,0.8569,0.8987,0.9402,0.9696,0.9872,0.5215,0.6312,0.7726,0.8224,0.8779,0.9283,0.9641,0.4826,0.6014,0.7405,0.7898,0.8478,0.9068,0.9565
webqsp_Oct08-23:14:02_spcount,webqsp,2025-10-09 01:57:55,none,0.6345,0.7346,0.8558,0.8964,0.9402,0.9716,0.9853,0.5134,0.6254,0.7644,0.8194,0.8764,0.9268,0.9618,0.483,0.6092,0.7449,0.7948,0.8591,0.9128,0.9543
no_train_random_Oct09-02:53:16,webqsp,2025-10-09 02:53:27,none,0.8405,0.906,0.9628,0.9807,0.9935,0.9986,0.9999,0.7162,0.8232,0.925,0.9538,0.9786,0.9923,0.9988,0.5153,0.6014,0.6733,0.6857,0.6945,0.6982,0.7018
no_train_sp_count_Oct09-02:53:05,webqsp,2025-10-09 02:53:28,none,0.8412,0.9058,0.963,0.9791,0.9935,0.9983,0.9999,0.7162,0.8232,0.925,0.9538,0.9786,0.9923,0.9988,0.5219,0.6055,0.6707,0.6831,0.6941,0.6984,0.7016
no_train_freq_weight_Oct09-02:53:50,webqsp,2025-10-09 02:54:05,none,0.8412,0.9058,0.963,0.9791,0.9935,0.9983,0.9999,0.7162,0.8232,0.925,0.9538,0.9786,0.9923,0.9988,0.5219,0.6055,0.6707,0.6831,0.6941,0.6984,0.7016
no_train_freq_weight_inv_Oct09-02:54:01,webqsp,2025-10-09 02:54:06,none,0.8412,0.9058,0.963,0.9791,0.9935,0.9983,0.9999,0.7162,0.8232,0.925,0.9538,0.9786,0.9923,0.9988,0.5219,0.6055,0.6707,0.6831,0.6941,0.6984,0.7016
no_train_sp_count_inv_Oct09-02:53:40,webqsp,2025-10-09 02:54:06,none,0.8412,0.9058,0.963,0.9791,0.9935,0.9983,0.9999,0.7162,0.8232,0.925,0.9538,0.9786,0.9923,0.9988,0.5219,0.6055,0.6707,0.6831,0.6941,0.6984,0.7016
