experiment_id,model,dataset,epoch,train_loss,val_mean_rank,val_mrr,val_hits@10,elapsed_sec
rotate-20250902_083124,rotate,FB15k_237,1,4.139404064948829,,,,1.058415174484253
rotate-20250902_083124,rotate,FB15k_237,2,3.5505911413868834,,,,1.8279685974121094
rotate-20250902_083124,rotate,FB15k_237,3,2.9794747450100125,,,,2.597410202026367
rotate-20250902_083124,rotate,FB15k_237,4,2.4941246280565377,,,,3.264874219894409
rotate-20250902_083124,rotate,FB15k_237,5,2.118722203666166,,,,3.9603359699249268
rotate-20250902_083124,rotate,FB15k_237,6,1.8174689515515834,,,,4.6555304527282715
rotate-20250902_083124,rotate,FB15k_237,7,1.5825136508103683,,,,5.35096549987793
rotate-20250902_083124,rotate,FB15k_237,8,1.3983588484781324,,,,6.012819766998291
rotate-20250902_083124,rotate,FB15k_237,9,1.2503683623012378,,,,6.7693281173706055
rotate-20250902_083124,rotate,FB15k_237,10,1.130467379403991,,,,7.576759576797485
rotate-20250902_083124,rotate,FB15k_237,11,1.032375497381486,,,,8.054670095443726
rotate-20250902_083124,rotate,FB15k_237,12,0.9521840753397676,,,,8.747638702392578
rotate-20250902_083124,rotate,FB15k_237,13,0.8841945605342151,,,,9.451225519180298
rotate-20250902_083124,rotate,FB15k_237,14,0.8287341616731682,,,,10.140945196151733
rotate-20250902_083124,rotate,FB15k_237,15,0.7804948147209367,,,,10.837844371795654
rotate-20250902_083124,rotate,FB15k_237,16,0.7418091745736956,,,,11.582300662994385
rotate-20250902_083124,rotate,FB15k_237,17,0.7080339408366807,,,,12.372716188430786
rotate-20250902_083124,rotate,FB15k_237,18,0.6785895299892223,,,,13.046655654907227
rotate-20250902_083124,rotate,FB15k_237,19,0.6540521367536395,,,,13.463608264923096
rotate-20250902_083124,rotate,FB15k_237,20,0.6330293407032417,,,,14.160635948181152
rotate-20250902_083124,rotate,FB15k_237,21,0.6152573041773254,,,,14.865026473999023
rotate-20250902_083124,rotate,FB15k_237,22,0.59936032051017,,,,15.49268913269043
rotate-20250902_083124,rotate,FB15k_237,23,0.5852972896482458,,,,16.21751070022583
rotate-20250902_083124,rotate,FB15k_237,24,0.5735147723840922,,,,17.0341796875
rotate-20250902_083124,rotate,FB15k_237,25,0.5618859450059617,3148.63623046875,0.016802474856376648,0.029883090960935273,17.772899389266968
rotate-20250902_083124,rotate,FB15k_237,26,0.5513755537224121,,,,25.386286735534668
rotate-20250902_083124,rotate,FB15k_237,27,0.5411942685129905,,,,26.080119132995605
rotate-20250902_083124,rotate,FB15k_237,28,0.5308006351650316,,,,26.4413423538208
rotate-20250902_083124,rotate,FB15k_237,29,0.5203141445357716,,,,27.263482093811035
rotate-20250902_083124,rotate,FB15k_237,30,0.5111019880517592,,,,27.912682056427002
rotate-20250902_083124,rotate,FB15k_237,31,0.5014021806158099,,,,28.573859691619873
rotate-20250902_083124,rotate,FB15k_237,32,0.49120369889028975,,,,29.25173306465149
rotate-20250902_083124,rotate,FB15k_237,33,0.4811180650715861,,,,29.931817770004272
rotate-20250902_083124,rotate,FB15k_237,34,0.4713276713966607,,,,30.61571502685547
rotate-20250902_083124,rotate,FB15k_237,35,0.46160113537252195,,,,31.326426029205322
rotate-20250902_083124,rotate,FB15k_237,36,0.4516653934193471,,,,32.16755962371826
rotate-20250902_083124,rotate,FB15k_237,37,0.44083169344217454,,,,32.858848094940186
