epoch,train_loss,val_loss,val_mean_rank,val_mrr,val_hits@10,elapsed_sec
1,0.6931469084648195,,,,,2.6691973209381104
2,0.693140049648397,,,,,3.4750020503997803
3,0.6931361291833612,,,,,4.339070796966553
4,0.6931306149963814,,,,,5.074091196060181
5,0.6931213152447371,,,,,5.827425003051758
6,0.6931051240372048,,,,,6.574153423309326
7,0.6930778375646323,,,,,7.312818765640259
8,0.6930339355583353,,,,,8.122743368148804
9,0.6929668887726557,,,,,9.035940647125244
10,0.6928690264699583,,,,,9.776273727416992
11,0.6927326557992117,,,,,10.522235631942749
12,0.6925506955111077,,,,,11.289144277572632
13,0.6923172769931936,,,,,12.047289609909058
14,0.6920273273987778,,,,,12.806218147277832
15,0.6916761073629305,,,,,13.66778826713562
16,0.6912603593920955,,,,,14.49172067642212
17,0.6907817475820672,,,,,15.261293888092041
18,0.6902389980890525,,,,,16.012264251708984
19,0.6896342328079584,,,,,16.71827721595764
20,0.688964090100561,,,,,17.473236322402954
21,0.6882292159045301,,,,,18.27395796775818
22,0.6874345688864745,,,,,19.16488289833069
23,0.6865899518413953,,,,,19.89813756942749
24,0.6856877737060358,,,,,20.64689040184021
25,0.6847262070065653,0.68378908259596,678.3018798828125,0.1989636868238449,0.30373538637011693,21.389092683792114
26,0.6837051850304224,,,,,40.838000535964966
27,0.682639077340019,,,,,41.592936277389526
28,0.6815163134562588,,,,,42.35726356506348
29,0.6803580575994459,,,,,43.13090538978577
30,0.6792059377836024,,,,,44.041956663131714
31,0.6779516949608152,,,,,44.76739287376404
32,0.6766817667403544,,,,,45.50582408905029
33,0.6753933198146695,,,,,46.2842435836792
34,0.6740434710255703,,,,,47.04761338233948
35,0.6726786476841218,,,,,47.79945254325867
36,0.6712742827792587,,,,,48.57069396972656
37,0.6698580542479526,,,,,49.4309196472168
38,0.6684534986209307,,,,,50.168214082717896
39,0.6669739575525183,,,,,50.94274544715881
40,0.665491485537438,,,,,51.32383728027344
41,0.6639677197633154,,,,,51.660555362701416
42,0.6624680761224395,,,,,51.998411417007446
43,0.6609694142754113,,,,,52.40192174911499
44,0.6594629710405293,,,,,53.17758274078369
45,0.6578764451710345,,,,,53.559237003326416
46,0.6563070163007823,,,,,54.41013216972351
47,0.6547543754916801,,,,,55.13589143753052
48,0.6532406216320645,,,,,55.47426772117615
49,0.6516017032852882,,,,,56.22322058677673
