epoch,train_loss,val_loss,val_mean_rank,val_mrr,val_hits@10,elapsed_sec
1,0.7521235291321713,,,,,3.3229992389678955
2,0.4190651337242183,,,,,4.383999586105347
3,0.2341829994098049,,,,,5.314708948135376
4,0.17304053077877718,,,,,6.330480337142944
5,0.14535774298556714,,,,,7.357741117477417
6,0.12971960469638733,,,,,8.569456338882446
7,0.1204066100382935,,,,,9.470829963684082
8,0.1148088652142055,,,,,10.498567819595337
9,0.11165197007546314,,,,,11.536852836608887
10,0.1065875479210762,0.12367380843828436,269.42816162109375,0.21493016183376312,0.3729683490162532,12.561218023300171
11,0.10465495438306367,,,,,41.54214358329773
12,0.10373289673047982,,,,,42.72621726989746
13,0.10171734612391499,,,,,44.00445199012756
14,0.10094438260423724,,,,,45.14264535903931
15,0.09957894364903518,,,,,46.33301544189453
16,0.09836850653684028,,,,,47.48649287223816
17,0.09749797321166724,,,,,48.85305881500244
18,0.09748266062202837,,,,,49.95330476760864
19,0.09685833299710128,,,,,51.14459443092346
20,0.09627188132429693,0.11143775868099709,235.3258056640625,0.22259053587913513,0.37228400342172796,52.41740107536316
21,0.09601763135526846,,,,,77.12657284736633
22,0.09487464789318201,,,,,78.36132884025574
23,0.09505036623660332,,,,,79.69983649253845
24,0.0940475493767805,,,,,80.39276766777039
25,0.09421667569543102,,,,,81.60119771957397
26,0.09410720239509009,,,,,82.76875519752502
27,0.09388751039792848,,,,,84.17409801483154
28,0.09326119987852327,,,,,85.36877512931824
29,0.09321430853180569,,,,,86.57544541358948
30,0.09227978463219284,0.10926207917680555,226.4757843017578,0.22105909883975983,0.37313943541488453,87.83263516426086
31,0.09243786123150351,,,,,115.96157550811768
32,0.09264724629756106,,,,,117.09372305870056
33,0.09340634009318667,,,,,118.33357048034668
34,0.09207343094867775,,,,,119.56634593009949
35,0.09149639442191507,,,,,120.73439264297485
36,0.09149111283027975,,,,,121.91145539283752
37,0.09216460707888127,,,,,123.15309524536133
38,0.09099083107702109,,,,,124.49523210525513
39,0.09130742186462934,,,,,125.66157698631287
